pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
11,10,5.1085,-0.0145,0.4546,0.9998,0.0198,0.0000,-0.0198,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
12,0,4.8096,0.0461,0.4400,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
12,1,4.8176,0.0492,0.6052,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
12,2,4.8948,-0.0095,0.5173,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
12,3,4.9209,-0.1857,0.5889,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
12,4,5.0400,-0.2297,0.5062,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
12,5,5.2046,-0.0894,0.6614,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
12,6,5.2972,-0.0680,0.4265,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
12,7,5.4059,-0.0573,0.4491,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
12,8,5.4324,-0.0135,0.4472,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
12,9,5.4613,0.0534,0.4544,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
12,10,5.5064,-0.0056,0.4546,0.9998,0.0210,0.0000,-0.0210,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
13,0,5.2088,0.0546,0.4400,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
13,1,5.2169,0.0577,0.6052,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
13,2,5.2941,-0.0009,0.5173,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
13,3,5.3203,-0.1771,0.5889,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
13,4,5.4394,-0.2210,0.5062,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
13,5,5.6040,-0.0805,0.6614,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
13,6,5.6965,-0.0590,0.4265,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
13,7,5.8052,-0.0482,0.4491,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
13,8,5.8317,-0.0044,0.4472,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
13,9,5.8605,0.0625,0.4544,0.9998,0.0219,0.0000,-0.0219,0.9998,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
